ts,agent_id,cvip,cvip_x,cvip_y,cvip_z
1571915,0,501.09717255948897,198.76744079589844,-59.8326530456543,-499.8239440917969
1571916,0,13.812594499650915,195.56744384765625,-72.83265686035156,0.09999999403953552
1571917,0,13.81130886424041,195.56744384765625,-72.83265686035156,0.09540698677301407
1571918,0,13.810196788962182,195.56744384765625,-72.83265686035156,0.08469131588935852
1571919,0,13.809258186808002,195.56744384765625,-72.83265686035156,0.06785445660352707
1571920,0,13.808492962829495,195.56744384765625,-72.83265686035156,0.044897954910993576
1571921,0,13.807926602843253,195.56744384765625,-72.83257293701172,0.021351279690861702
1571922,0,13.807459131053298,195.56739807128906,-72.83253479003906,0.0024756239727139473
1571923,0,13.807302120581985,195.56735229492188,-72.8324966430664,-0.01238246913999319
1571924,0,13.807333445722405,195.5673370361328,-72.83248138427734,-0.023821182548999786
1571925,0,13.807402607046313,195.5673370361328,-72.83246612548828,-0.03239978849887848
1571926,0,13.807453827856348,195.5673370361328,-72.83245086669922,-0.03862537443637848
1571927,0,13.807437429439071,195.56732177734375,-72.83245086669922,-0.04294982925057411
1571928,0,13.807299341609536,195.56732177734375,-72.83244323730469,-0.04576675221323967
1571929,0,13.807205081001403,195.56732177734375,-72.83244323730469,-0.04741344228386879
1571930,0,13.80715716320067,195.56732177734375,-72.83244323730469,-0.04817352071404457
1571931,0,13.807120144940303,195.56732177734375,-72.83245086669922,-0.04828201234340668
1571932,0,13.807123901656801,195.5673370361328,-72.83245086669922,-0.047929953783750534
1571933,0,13.807130939219443,195.5673370361328,-72.83245086669922,-0.04726989567279816
1571934,0,13.807144185194526,195.5673370361328,-72.83245849609375,-0.04642120376229286
1571935,0,13.807174301442226,195.56735229492188,-72.83245849609375,-0.04547519609332085
1571936,0,13.807187159955314,195.56735229492188,-72.83246612548828,-0.04449958726763725
1571937,0,13.807216203784083,195.56735229492188,-72.83246612548828,-0.04354332014918327
1571938,0,13.80723140098508,195.56735229492188,-72.83246612548828,-0.04263957962393761
1571939,0,13.807243124240003,195.56735229492188,-72.83246612548828,-0.04180946201086044
1571940,0,13.807265701560585,195.5673828125,-72.83247375488281,-0.041064947843551636
1571941,0,13.807277763102267,195.5673828125,-72.83247375488281,-0.04041072726249695
1571942,0,13.807286315806218,195.5673828125,-72.83247375488281,-0.03984649479389191
1571943,0,13.807294516611345,195.5673828125,-72.83247375488281,-0.03936820849776268
1571944,0,13.807295254485286,195.5673828125,-72.83248138427734,-0.038969725370407104
1571945,0,13.80729981544068,195.5673828125,-72.83248138427734,-0.03864334151148796
1571946,0,13.807315277297967,195.5673828125,-72.83248138427734,-0.03838081285357475
1571947,0,13.807323255466866,195.5673828125,-72.83248138427734,-0.03817378729581833
1571948,0,13.807320210429433,195.5673828125,-72.83248138427734,-0.03801395371556282
1571949,0,13.807328071581523,195.5673828125,-72.83248138427734,-0.037893712520599365
1571950,0,13.807328459797219,195.5673828125,-72.83248138427734,-0.03780612722039223
1571951,0,13.807343642902689,195.5673828125,-72.83248138427734,-0.03774493932723999
1571952,0,13.807343941484485,195.5673828125,-72.83248138427734,-0.03770481050014496
1571953,0,13.807340660357214,195.5673828125,-72.83248138427734,-0.0376809686422348
1571954,0,13.807340887120883,195.5673828125,-72.83248138427734,-0.03766956180334091
1571955,0,13.807348504862448,195.5673828125,-72.83248138427734,-0.037667348980903625
1571956,0,13.8073486749057,195.5673828125,-72.83248138427734,-0.03767162188887596
1571957,0,13.807348821510196,195.5673828125,-72.83248138427734,-0.03768032044172287
1571958,0,13.8073489473552,195.5673828125,-72.83248138427734,-0.03769168630242348
1571959,0,13.807349054956626,195.5673828125,-72.83248138427734,-0.037704505026340485
1571960,0,13.807349146552685,195.5673828125,-72.83248138427734,-0.037717703729867935
1571961,0,13.807349224404875,195.5673828125,-72.83248138427734,-0.037730827927589417
1571962,0,13.80734923886682,195.5673828125,-72.83248138427734,-0.037743184715509415
1571963,0,13.807349293883256,195.5673828125,-72.83248138427734,-0.037754591554403305
