ts,agent_id,x,y,z,v
5287161,0,192.36241149902344,-86.26268005371094,0.5347328782081604,0.0
5287162,0,192.36241149902344,-86.26268005371094,0.4873131513595581,0.0
5287163,0,192.36241149902344,-86.26268005371094,0.43378135561943054,0.0
5287164,0,192.36241149902344,-86.26268005371094,0.37413910031318665,0.0
5287165,0,192.36241149902344,-86.26268005371094,0.3083879053592682,0.0
5287166,0,192.36241149902344,-86.26268005371094,0.23652930557727814,0.0
5287167,0,192.36241149902344,-86.26268005371094,0.15856479108333588,0.0
5287168,0,192.36241149902344,-86.26268005371094,0.07449592649936676,0.0
5287169,0,192.36241149902344,-86.26268005371094,-0.0014325713273137808,6.922596048211724e-08
5287170,0,192.36241149902344,-86.26268005371094,-0.04976116120815277,2.0542135958074157e-07
5287171,0,192.36241149902344,-86.26268005371094,-0.0790141299366951,5.247146664323097e-08
5287172,0,192.36241149902344,-86.26268005371094,-0.09499464184045792,8.290979483673354e-08
5287173,0,192.36241149902344,-86.26268005371094,-0.09607665985822678,0.0018299009033844633
5287174,0,192.36241149902344,-86.2625503540039,-0.09360036998987198,0.006434445131433012
5287175,0,192.36244201660156,-86.26248168945312,-0.08894704282283783,0.002665380690809233
5287176,0,192.36244201660156,-86.262451171875,-0.0831238329410553,0.0007267004243694287
5287177,0,192.36244201660156,-86.26243591308594,-0.07681388407945633,0.0002672309573196398
5287178,0,192.36245727539062,-86.262451171875,-0.07046787440776825,0.0007199543817790154
5287179,0,192.36245727539062,-86.26246643066406,-0.06437091529369354,0.000906694230452919
5287180,0,192.36244201660156,-86.26248931884766,-0.05869167298078537,0.0009506283063195782
5287181,0,192.36244201660156,-86.26251983642578,-0.05351840704679489,0.0009214181549825183
5287182,0,192.36241149902344,-86.26253509521484,-0.04888515546917915,0.0008578808780376294
5287183,0,192.36241149902344,-86.26256561279297,-0.044789884239435196,0.0007804342978624855
5287184,0,192.36244201660156,-86.26258850097656,-0.04120860993862152,0.0006996956963066748
5287185,0,192.36245727539062,-86.26260375976562,-0.03810413181781769,0.0006217474438769806
5287186,0,192.36245727539062,-86.26262664794922,-0.03543258458375931,0.0005489314869311267
5287187,0,192.3624725341797,-86.26264190673828,-0.03314792737364769,0.00048304319802313755
5287188,0,192.3625030517578,-86.26265716552734,-0.031204603612422943,0.0004236582222577122
5287189,0,192.3625030517578,-86.26266479492188,-0.029559288173913956,0.00037114513503268726
5287190,0,192.3625030517578,-86.2626724243164,-0.028171958401799202,0.00032385525606241336
5287191,0,192.36251831054688,-86.26268005371094,-0.02700645476579666,0.00028289635325264267
5287192,0,192.36251831054688,-86.2626953125,-0.026030387729406357,0.00024672131392968285
5287193,0,192.36251831054688,-86.26270294189453,-0.02521541528403759,0.00021527835090229199
5287194,0,192.36253356933594,-86.26270294189453,-0.0245367418974638,0.00018752909920455036
5287195,0,192.36253356933594,-86.26271057128906,-0.023972854018211365,0.00016317401356791945
5287196,0,192.36253356933594,-86.26271057128906,-0.0235054399818182,0.00014215773901406496
5287197,0,192.36253356933594,-86.26272583007812,-0.02311866730451584,0.0001235611557544884
5287198,0,192.36253356933594,-86.26272583007812,-0.022799339145421982,0.00010742929441474598
5287199,0,192.362548828125,-86.26272583007812,-0.022536009550094604,9.362072254235039e-05
5287200,0,192.362548828125,-86.26272583007812,-0.022319259122014046,8.157849997688312e-05
5287201,0,192.362548828125,-86.26273345947266,-0.0221411120146513,7.091153068866642e-05
5287202,0,192.362548828125,-86.26273345947266,-0.021994857117533684,6.160027395677225e-05
5287203,0,192.362548828125,-86.26273345947266,-0.02187499962747097,5.379326863776759e-05
5287204,0,192.362548828125,-86.26273345947266,-0.02177680842578411,4.6730366504680095e-05
5287205,0,192.362548828125,-86.26273345947266,-0.02169654704630375,4.039454735867976e-05
5287206,0,192.362548828125,-86.26273345947266,-0.02163093537092209,3.517893945922507e-05
5287207,0,192.362548828125,-86.26273345947266,-0.0215773768723011,3.046115838563103e-05
5287208,0,192.362548828125,-86.26273345947266,-0.0215773768723011,0.0
5287209,0,192.362548828125,-86.26273345947266,-0.021541861817240715,3.3640329737410776e-06
5287210,0,192.362548828125,-86.26273345947266,-0.021525496616959572,2.998213088516729e-06
5287211,0,192.362548828125,-86.26273345947266,-0.02150745317339897,2.9555924672304506e-06
5287212,0,192.362548828125,-86.26273345947266,-0.021489180624485016,2.7867350448768354e-06
5287213,0,192.362548828125,-86.26273345947266,-0.021471481770277023,2.5429017960683627e-06
5287214,0,192.362548828125,-86.26273345947266,-0.02145492471754551,2.312632346180877e-06
5287215,0,192.362548828125,-86.26273345947266,-0.021439742296934128,2.0671617091300846e-06
5287216,0,192.362548828125,-86.26273345947266,-0.021426161751151085,1.88516996558083e-06
5287217,0,192.362548828125,-86.26273345947266,-0.02141410857439041,1.6254992515968762e-06
5287218,0,192.362548828125,-86.26273345947266,-0.02140357904136181,1.4185894039367516e-06
5287219,0,192.362548828125,-86.26273345947266,-0.02139442414045334,1.2088047628787491e-06
5287220,0,192.362548828125,-86.26273345947266,-0.021386565640568733,1.11818043260662e-06
5287221,0,192.362548828125,-86.26273345947266,-0.02137981355190277,8.923190795399599e-07
5287222,0,192.362548828125,-86.26273345947266,-0.02137405425310135,7.763870627246811e-07
5287223,0,192.362548828125,-86.26274108886719,-0.021369170397520065,6.926288905406194e-07
5287224,0,192.362548828125,-86.26274108886719,-0.0213650893419981,5.887778892344117e-07
5287225,0,192.362548828125,-86.26274108886719,-0.0213650893419981,0.0
5287226,0,192.362548828125,-86.26274108886719,-0.021362151950597763,4.005566859593618e-07
5287227,0,192.362548828125,-86.26274108886719,-0.021360740065574646,3.9184470612525274e-07
5287228,0,192.362548828125,-86.26274108886719,-0.021359138190746307,2.637493390578899e-07
5287229,0,192.362548828125,-86.26274108886719,-0.02135753631591797,2.621869168610995e-07
5287230,0,192.362548828125,-86.26274108886719,-0.021355971693992615,3.22971467083758e-07
5287231,0,192.362548828125,-86.26274108886719,-0.021354522556066513,2.381777840817066e-07
5287232,0,192.362548828125,-86.26274108886719,-0.021353110671043396,2.2957116051805613e-07
5287233,0,192.362548828125,-86.26274108886719,-0.021351927891373634,2.054858565334824e-07
5287234,0,192.362548828125,-86.26274108886719,-0.02135089784860611,1.368994912360909e-07
5287235,0,192.362548828125,-86.26274108886719,-0.02135089784860611,1.7803395251896507e-07
5287236,0,192.362548828125,-86.26274108886719,-0.021349182352423668,1.1846121652260066e-07
5287237,0,192.362548828125,-86.26274108886719,-0.021349182352423668,1.0526033921811191e-07
5287238,0,192.362548828125,-86.26274108886719,-0.021347884088754654,1.9873126510595794e-07
5287239,0,192.362548828125,-86.26274108886719,-0.021347884088754654,1.420740322887456e-07
5287240,0,192.362548828125,-86.26274108886719,-0.021347884088754654,4.832357806565464e-08
5287241,0,192.362548828125,-86.26274108886719,-0.02134651131927967,1.340191852251239e-07
5287242,0,192.362548828125,-86.26274108886719,-0.02134651131927967,0.0
5287243,0,192.362548828125,-86.26274108886719,-0.02134651131927967,5.6301589018438857e-08
5287244,0,192.362548828125,-86.26274108886719,-0.02134651131927967,6.667408473085705e-08
5287245,0,192.362548828125,-86.26274108886719,-0.02134651131927967,2.8796041426730367e-08
5287246,0,192.362548828125,-86.26274108886719,-0.02134651131927967,2.2510392386227195e-08
5287247,0,192.362548828125,-86.26274108886719,-0.02134651131927967,4.469681591278866e-08
5287248,0,192.362548828125,-86.26274108886719,-0.02134651131927967,1.1277241117438342e-08
5287249,0,192.362548828125,-86.26274108886719,-0.02134651131927967,1.0791491184285003e-07
5287250,0,192.362548828125,-86.26274108886719,-0.021345404908061028,2.9461789992562474e-08
5287251,0,192.362548828125,-86.26274108886719,-0.021345404908061028,4.444408586621433e-08
5287252,0,192.362548828125,-86.26274108886719,-0.021345404908061028,8.442473911322514e-08
5287253,0,192.362548828125,-86.26274108886719,-0.021345404908061028,1.1101690921681891e-07
5287254,0,192.362548828125,-86.26274108886719,-0.021345404908061028,7.425191468578008e-08
5287255,0,192.362548828125,-86.26273345947266,-0.021343955770134926,0.0011840208219437338
5287256,0,192.36260986328125,-86.25728607177734,-0.021451033651828766,0.2849552910958287
5287257,0,192.36276245117188,-86.24480438232422,-0.021633530035614967,0.5623365153182253
5287258,0,192.36300659179688,-86.2254867553711,-0.021848410367965698,0.8326463194225255
5287259,0,192.36331176757812,-86.1995620727539,-0.02206886187195778,1.0955157738272243
5287260,0,192.3636932373047,-86.16720581054688,-0.02227909117937088,1.3506909937368103
5287261,0,192.3641357421875,-86.1286392211914,-0.02247001603245735,1.5980101173354364
5287262,0,192.3646697998047,-86.08405303955078,-0.02263702265918255,1.8373819486965726
