ts,agent_id,x,y,z,v
4982528,0,192.36241149902344,-86.26268005371094,0.5760391354560852,0.0
4982529,0,192.36241149902344,-86.26268005371094,0.5347328782081604,0.0
4982530,0,192.36241149902344,-86.26268005371094,0.4873131513595581,0.0
4982531,0,192.36241149902344,-86.26268005371094,0.43378135561943054,0.0
4982532,0,192.36241149902344,-86.26268005371094,0.37413910031318665,0.0
4982533,0,192.36241149902344,-86.26268005371094,0.3083879053592682,0.0
4982534,0,192.36241149902344,-86.26268005371094,0.23652930557727814,0.0
4982535,0,192.36241149902344,-86.26268005371094,0.15856479108333588,0.0
4982536,0,192.36241149902344,-86.26268005371094,0.07449592649936676,0.0
4982537,0,192.36241149902344,-86.26268005371094,-0.0014325713273137808,6.802220269939598e-08
4982538,0,192.36241149902344,-86.26268005371094,-0.04976116120815277,2.047915485295275e-07
4982539,0,192.36241149902344,-86.26268005371094,-0.0790141299366951,5.2360883277343343e-08
4982540,0,192.36241149902344,-86.26268005371094,-0.09499464184045792,8.286875766003505e-08
4982541,0,192.36241149902344,-86.26268005371094,-0.09607665985822678,0.0018472468418753549
4982542,0,192.36241149902344,-86.2625503540039,-0.09360036998987198,0.006442186258886711
4982543,0,192.36244201660156,-86.26248168945312,-0.0889471024274826,0.0026705292884150276
4982544,0,192.36244201660156,-86.26243591308594,-0.08312385529279709,0.000729161798858997
4982545,0,192.36244201660156,-86.2624282836914,-0.07681392133235931,0.0002662864153206986
4982546,0,192.36245727539062,-86.26243591308594,-0.07046787440776825,0.0007199077331726013
4982547,0,192.36245727539062,-86.26245880126953,-0.06437091529369354,0.0009070932820843149
4982548,0,192.36244201660156,-86.26248168945312,-0.05869167298078537,0.0009511480431314644
4982549,0,192.36244201660156,-86.26250457763672,-0.05351836979389191,0.0009218386842751115
4982550,0,192.36241149902344,-86.26252746582031,-0.04888515546917915,0.0008585588909444866
4982551,0,192.36241149902344,-86.26255798339844,-0.044789884239435196,0.000781131549764054
4982552,0,192.36244201660156,-86.2625732421875,-0.04120860993862152,0.0007006638722916831
4982553,0,192.36245727539062,-86.2625961303711,-0.03810413181781769,0.0006223994691711565
4982554,0,192.36245727539062,-86.26261901855469,-0.03543258458375931,0.0005497349341201865
4982555,0,192.3624725341797,-86.26263427734375,-0.03314792737364769,0.0004835949402671947
4982556,0,192.3625030517578,-86.26264190673828,-0.031204603612422943,0.000424140972832273
4982557,0,192.3625030517578,-86.26265716552734,-0.029559249058365822,0.00037131735542225334
4982558,0,192.3625030517578,-86.26266479492188,-0.028171958401799202,0.0003241098077044718
4982559,0,192.36251831054688,-86.2626724243164,-0.027006415650248528,0.00028312200759123826
4982560,0,192.36251831054688,-86.26268005371094,-0.026030387729406357,0.000246863127564418
4982561,0,192.36251831054688,-86.2626953125,-0.025215454399585724,0.00021516940894526998
4982562,0,192.36253356933594,-86.2626953125,-0.0245367418974638,0.00018745441585426315
4982563,0,192.36253356933594,-86.26270294189453,-0.023972854018211365,0.00016337349624609635
4982564,0,192.36253356933594,-86.26270294189453,-0.0235054399818182,0.00014217180071207953
4982565,0,192.36253356933594,-86.26271057128906,-0.02311866730451584,0.00012371933567393223
4982566,0,192.36253356933594,-86.26271057128906,-0.022799339145421982,0.00010750932247688306
4982567,0,192.362548828125,-86.26271057128906,-0.022536009550094604,9.368474641696734e-05
4982568,0,192.362548828125,-86.26271057128906,-0.022319259122014046,8.176341918688286e-05
4982569,0,192.362548828125,-86.26272583007812,-0.0221411120146513,7.09277806610423e-05
4982570,0,192.362548828125,-86.26272583007812,-0.021994896233081818,6.210785128952961e-05
4982571,0,192.362548828125,-86.26272583007812,-0.02187499962747097,5.384095667039031e-05
4982572,0,192.362548828125,-86.26272583007812,-0.02177680842578411,4.6770721493629063e-05
4982573,0,192.362548828125,-86.26272583007812,-0.02169654704630375,4.047876453624552e-05
4982574,0,192.362548828125,-86.26272583007812,-0.02163093537092209,3.5231727917778464e-05
4982575,0,192.362548828125,-86.26272583007812,-0.0215773768723011,3.059404830360421e-05
4982576,0,192.362548828125,-86.26272583007812,-0.0215773768723011,0.0
4982577,0,192.362548828125,-86.26272583007812,-0.021541861817240715,3.4896820093364966e-06
4982578,0,192.362548828125,-86.26272583007812,-0.021525496616959572,3.0008201597839164e-06
4982579,0,192.362548828125,-86.26272583007812,-0.02150745317339897,2.971223229850208e-06
4982580,0,192.362548828125,-86.26272583007812,-0.02148914337158203,2.8395860252903908e-06
4982581,0,192.362548828125,-86.26272583007812,-0.021471481770277023,2.602799022557144e-06
4982582,0,192.362548828125,-86.26272583007812,-0.021454887464642525,2.318297031971418e-06
4982583,0,192.362548828125,-86.26272583007812,-0.021439742296934128,2.069669289564743e-06
4982584,0,192.362548828125,-86.26272583007812,-0.021426161751151085,1.9080100327085377e-06
4982585,0,192.362548828125,-86.26272583007812,-0.02141410857439041,1.6311974351135927e-06
4982586,0,192.362548828125,-86.26272583007812,-0.02140357904136181,1.4244117123066155e-06
4982587,0,192.362548828125,-86.26272583007812,-0.021394461393356323,1.1607507850087836e-06
4982588,0,192.362548828125,-86.26272583007812,-0.021386565640568733,1.0657448711121775e-06
4982589,0,192.362548828125,-86.26272583007812,-0.02137981355190277,8.941708312056383e-07
4982590,0,192.362548828125,-86.26273345947266,-0.02137405425310135,7.97537738254324e-07
4982591,0,192.362548828125,-86.26273345947266,-0.021369170397520065,6.960775829595613e-07
4982592,0,192.362548828125,-86.26273345947266,-0.021365050226449966,6.022755522138237e-07
4982593,0,192.362548828125,-86.26273345947266,-0.021365050226449966,0.0
4982594,0,192.362548828125,-86.26273345947266,-0.02136222831904888,2.9619135996004224e-07
4982595,0,192.362548828125,-86.26273345947266,-0.021360816434025764,4.073310068409757e-07
4982596,0,192.362548828125,-86.26273345947266,-0.021359175443649292,2.671786434643207e-07
4982597,0,192.362548828125,-86.26273345947266,-0.02135753631591797,2.5839716944111177e-07
4982598,0,192.362548828125,-86.26273345947266,-0.02135601080954075,3.306848515283243e-07
4982599,0,192.362548828125,-86.26273345947266,-0.021354522556066513,2.2845620518598773e-07
4982600,0,192.362548828125,-86.26273345947266,-0.02135314978659153,2.283510198564569e-07
4982601,0,192.362548828125,-86.26273345947266,-0.021351967006921768,1.9206900531345123e-07
4982602,0,192.362548828125,-86.26273345947266,-0.021350936964154243,2.248392946517885e-07
4982603,0,192.362548828125,-86.26273345947266,-0.021350936964154243,1.48791918137761e-07
4982604,0,192.362548828125,-86.26273345947266,-0.021349182352423668,9.912582514091583e-08
4982605,0,192.362548828125,-86.26273345947266,-0.021349182352423668,9.92633389954965e-08
4982606,0,192.362548828125,-86.26273345947266,-0.021347884088754654,1.096953336202731e-07
4982607,0,192.362548828125,-86.26273345947266,-0.021347884088754654,1.0225391510995024e-07
4982608,0,192.362548828125,-86.26273345947266,-0.021347884088754654,4.338446682063739e-08
4982609,0,192.362548828125,-86.26273345947266,-0.02134658768773079,4.3418101592448984e-08
4982610,0,192.362548828125,-86.26273345947266,-0.02134658768773079,0.0
4982611,0,192.362548828125,-86.26273345947266,-0.02134658768773079,2.0255555958396386e-08
4982612,0,192.362548828125,-86.26273345947266,-0.02134658768773079,5.533367889399762e-08
4982613,0,192.362548828125,-86.26273345947266,-0.02134658768773079,1.9334230400607283e-08
4982614,0,192.362548828125,-86.26273345947266,-0.02134658768773079,6.431297297307372e-08
